gene,combined_coef,combined_se,pval,i2,n_samples,mean_expr,pct_expr,n_positive_samples,n_negative_samples,sign_consistency,median_dispersion,fdr,median_coef,fisher_stat,fisher_pval,fisher_fdr,perm_pval,gradient_score,decay_pattern,cell_type
MTRNR2L1,-0.00173977342562353,0.00140035514796115,0.214096339363448,0.930916248169727,5,0.211773436878794,0.155609743168385,1,4,0.8,0.652304804410222,0.550285456039565,-0.000783472148822255,,1,1,,-0.000783472148822255,not_significant,endothelial
MX1,-0.00112411583351698,0.000958942379619507,0.241098528926118,0.874816421175635,5,0.149222083808211,0.113520103898858,2,3,0.6,0.666460518609201,0.574648373455484,-0.00103231292715981,,1,1,,-0.00103231292715981,not_significant,endothelial
MXRA8,-0.000278149095677618,0.000591893962712135,0.638404588400607,0.563926701690111,5,0.111028651700284,0.0918391688091389,2,3,0.6,0.506232474326178,0.856904783525318,-0.000847092655930481,,1,1,,-0.000847092655930481,not_significant,endothelial
MYC,-5.62127020568513e-05,0.00102333241962227,0.956193412216533,0.838602724315258,5,0.149248588618834,0.116780195605502,1,4,0.8,0.405423679115914,0.975210686698366,-0.00042089475828384,,1,1,,-0.00042089475828384,not_significant,endothelial
MYH11,-0.000967893433088127,0.00118768143024405,0.415104569230069,0.589279436477213,5,0.127965225688462,0.0916271303241538,2,3,0.6,0.284348732714107,0.748987673561072,-0.00143230413828491,,1,1,,-0.00143230413828491,not_significant,endothelial
MYL9,5.55011230884181e-05,0.000339157872577861,0.870011469155375,0.219456188910822,5,0.171804182459116,0.130615706750775,2,3,0.6,0.555970983508523,0.945578179619157,-4.05871016142291e-05,,1,1,,-4.05871016142291e-05,not_significant,endothelial
MZB1,0.000272800542210322,0.000798549231158272,0.732636738957957,0.446156721159359,5,0.0661825121259509,0.0562167033316547,3,2,0.6,0.301215479748547,0.900432634642259,0.000225995332794643,,1,1,,0.000225995332794643,not_significant,endothelial
MZT2A,0.000284364708191342,0.000385513320155648,0.460741656892645,0.98680198336831,5,11.536536881444,0.908849956267062,2,3,0.6,2.21453164294465,0.779196150520046,-4.99117446878582e-05,,1,1,,-4.99117446878582e-05,not_significant,endothelial
NANOG,-0.000943626613414508,0.000502672514693264,0.0604880250428638,0.152912518955049,5,0.0767314267539559,0.0657849399666039,1,4,0.8,0.276809857316658,0.286189611023699,-0.00071815006213036,,1,1,,-0.00071815006213036,not_significant,endothelial
NCR1,0.000166261794877558,0.00135616412412669,0.902426147402777,0.566579274827236,5,0.0335550902488802,0.030215484110366,2,3,0.6,0.236087538094772,0.958890800201163,-0.000683293823376063,,1,1,,-0.000683293823376063,not_significant,endothelial
NDRG1,-0.00119472978966054,0.0015569530519184,0.442872735814263,0.992011385703937,5,0.648917278486045,0.315486760847094,1,4,0.8,0.904098191542597,0.769967041607612,-0.00132612531380894,,1,1,,-0.00132612531380894,not_significant,endothelial
NEAT1,0.00048263799570341,0.0002231586731011,0.0305598698707821,0.792726541381196,5,2.3855124705134,0.659784250841528,4,1,0.8,1.84585580113341,0.187499588691057,0.000634281152063843,,1,1,,0.000634281152063843,not_significant,endothelial
NFKB1,0.000165571525873513,0.000305277197716878,0.587567404998742,0,5,0.0850009276683718,0.0732592965623261,3,2,0.6,0.29948000514817,0.834388096436233,0.000163187586161916,,1,1,,0.000163187586161916,not_significant,endothelial
NFKBIA,0.00114768996501444,0.000389049481807417,0.00317789808706188,0.702632381398379,5,0.558456359829309,0.293328739166159,4,1,0.8,0.836776659084405,0.0457906224363007,0.00107996780644183,,1,1,,0.00107996780644183,not_significant,endothelial
NGFR,-0.000447841919378264,0.00040939332780709,0.273991812406139,0.0777479155542045,5,0.061040578865064,0.0522409817381855,1,4,0.8,0.241106573849632,0.598396111222783,-0.000193583413750706,,1,1,,-0.000193583413750706,not_significant,endothelial
NKG7,-5.57161264566688e-05,0.00100712405617854,0.955881928085681,0.502548744945068,5,0.0586286410983594,0.0489543852209176,2,3,0.6,0.275563721155375,0.975210686698366,-3.26346359353153e-05,,1,1,,-3.26346359353153e-05,not_significant,endothelial
NLRC4,-0.00136326989259562,0.00118993847229046,0.25193412748423,0.51199741367525,5,0.0441835193087545,0.0380344032441888,1,4,0.8,0.193112582774782,0.584439433508798,-0.00122004389051726,,1,1,,-0.00122004389051726,not_significant,endothelial
NLRC5,0.000165356352834445,0.000551487020418329,0.764301298696541,0.521218823930843,5,0.15759760396512,0.126374937051075,1,4,0.8,0.575819692632417,0.906581286592379,-0.000207618529943427,,1,1,,-0.000207618529943427,not_significant,endothelial
NLRP1,-0.000800167787556658,0.000281970232519517,0.0045429339898645,0,5,0.0936945055527578,0.0805216146730632,2,3,0.6,0.342610802325419,0.0626134815124802,-0.000127909888316129,,1,1,,-0.000127909888316129,not_significant,endothelial
NLRP2,-0.000210365057178741,0.000410563487180593,0.608384169283107,0,5,0.0471520580985449,0.0403668265790241,2,3,0.6,0.216741425965061,0.836652521363867,-0.000226778243422876,,1,1,,-0.000226778243422876,not_significant,endothelial
NLRP3,-0.000577003059911363,0.000427534349089102,0.177142295577875,0,5,0.042407696997005,0.0378488695698269,1,4,0.8,0.255163095677834,0.505892862145823,-0.000555611633448678,,1,1,,-0.000555611633448678,not_significant,endothelial
NOD2,4.35871753513803e-05,0.00135477683098845,0.974334123009115,0.553105976984323,5,0.0731002676985873,0.0626573723130748,1,4,0.8,0.294474845306511,0.984486748968984,-0.00071588728964687,,1,1,,-0.00071588728964687,not_significant,endothelial
NOSIP,-0.000659809226954223,0.000295700525390956,0.0256584331850838,0,5,0.169047682154311,0.134220360995521,0,5,1,0.623936213216663,0.171689686282111,-0.000748104462348359,16.9571523198763,0.0753174827944549,1,,-0.000748104462348359,not_significant,endothelial
NOTCH1,-0.000331905429709927,0.000552997845325958,0.548377625565522,0.832364983996804,5,0.347504572079832,0.233931458559729,2,3,0.6,0.754068574600465,0.82345163068168,-0.00103500075738715,,1,1,,-0.00103500075738715,not_significant,endothelial
NOTCH2,-0.000621704340120009,0.000710889511009257,0.381821928775049,0.368799984592656,5,0.0574359246203186,0.0503856449945665,1,4,0.8,0.265829266161639,0.721893944860978,-0.000364617776075521,,1,1,,-0.000364617776075521,not_significant,endothelial
NOTCH3,0.000239206453057432,0.000509275492482199,0.638569712689999,0.543102790768442,5,0.266982957406769,0.171406610299769,3,2,0.6,0.720053189198359,0.856904783525318,0.000196444865004375,,1,1,,0.000196444865004375,not_significant,endothelial
NPPB,-0.000910063377315058,0.00059293312377456,0.1248206891869,0,5,0.0536722415118344,0.0463039041586048,0,5,1,0.259952996744669,0.413604443960774,-0.00127083796618837,11.3252623184364,0.332744852943097,1,,-0.00127083796618837,not_significant,endothelial
NPPC,-0.000346952788167674,0.000314547545341075,0.270017714095931,0.783544281802779,5,1.46203185878237,0.580481857457128,2,3,0.6,1.06573215745489,0.594413995613958,-0.000308141584541477,,1,1,,-0.000308141584541477,not_significant,endothelial
NPR1,-0.000598222626543315,0.000279190856214396,0.0321370863327587,0,5,0.130695221182645,0.105436136658804,1,4,0.8,0.469163736420035,0.193120083377744,-0.000896352340755018,,1,1,,-0.000896352340755018,not_significant,endothelial
NPR2,-0.000736629688761921,0.000380059031144289,0.0525990595323014,0.0515703193855482,5,0.0611200932969334,0.0538312703755732,2,3,0.6,0.231549139046881,0.257843843377416,-0.000817211608756534,,1,1,,-0.000817211608756534,not_significant,endothelial
NPR3,0.000372220328343687,0.000843337892748102,0.658948347667781,0.664452304362256,5,0.120358345039625,0.0972991597975032,3,2,0.6,0.438523244808915,0.86718723403985,0.000111954304130419,,1,1,,0.000111954304130419,not_significant,endothelial
NR1H2,-3.55126894757584e-05,0.000276668651748472,0.897865510909586,0,5,0.18031222666914,0.140767049219433,2,3,0.6,0.619184198852228,0.958282771989964,-0.000234026387234695,,1,1,,-0.000234026387234695,not_significant,endothelial
NR1H3,-0.000507186983753498,0.00038443624479462,0.187068623995211,0.312388830093057,5,0.0814757878554958,0.0678258103845848,2,3,0.6,0.315927902643033,0.519209288735994,-0.00065172964436415,,1,1,,-0.00065172964436415,not_significant,endothelial
NR1H4,-0.00161187174021464,0.000783205124184477,0.0395857709423203,0.16170159698268,5,0.0420366296482812,0.0376368310848419,1,4,0.8,0.182620839272479,0.217752804670891,-0.0015559888484521,,1,1,,-0.0015559888484521,not_significant,endothelial
NR3C1,5.77398622273133e-05,0.000505940775340044,0.909139689696873,0.466723745089194,5,0.13090725966763,0.107105939728061,3,2,0.6,0.499584892683824,0.962797154678983,0.000229165718167571,,1,1,,0.000229165718167571,not_significant,endothelial
NRG1,-0.00122314105935191,0.000745704291682305,0.100953309956465,0.274107788933253,5,0.0371597444936256,0.0325214026345782,1,4,0.8,0.207811549644336,0.388690679225094,-0.00230224849481235,,1,1,,-0.00230224849481235,not_significant,endothelial
NRG4,-0.000751613034718398,0.000622809844242231,0.227505394169113,0.31557743977637,5,0.0561371888997853,0.0500940920777121,1,4,0.8,0.27136367552043,0.572635200197774,-0.000513238956745264,,1,1,,-0.000513238956745264,not_significant,endothelial
NRIP3,-0.000248961792291221,0.00111079614032998,0.822656812701101,0.64447205146566,5,0.0408439131702404,0.0356754750987304,3,2,0.6,0.265595930625951,0.930257584873659,0.000314140865468758,,1,1,,0.000314140865468758,not_significant,endothelial
NRXN1,0.000219126131602963,0.000821716170120581,0.789724115845228,0.388313658040648,5,0.0424342018076281,0.0364441146068011,3,2,0.6,0.271825336686385,0.915921567365485,0.000208204589123085,,1,1,,0.000208204589123085,not_significant,endothelial
NRXN3,-0.00169324923661201,0.000613053627710867,0.00574498799767446,0.327371603396645,5,0.0592382517426913,0.0505976834795516,0,5,1,0.338056266841606,0.0727489687705263,-0.00128756057096171,32.2300940775325,0.000366567605874496,0.00942177819423367,,-0.00128756057096171,linear,endothelial
NTRK2,-0.00324088777170716,0.00304600679083066,0.28733813666823,0.906653673195454,5,0.0369742108192637,0.0323358689602163,1,4,0.8,0.247207721477878,0.617468721336752,-0.00109959659525034,,1,1,,-0.00109959659525034,not_significant,endothelial
OAS1,-0.000991076642696886,0.000768928296745821,0.197430610783136,0.641278520888884,5,0.0658114447772271,0.0569323332184792,2,3,0.6,0.321207303927816,0.528891579872569,-0.000384832440221538,,1,1,,-0.000384832440221538,not_significant,endothelial
OAS2,-0.000650938474079214,0.000259905666318148,0.0122618293214945,0.144454701264653,5,0.150759362824353,0.120782422009595,1,4,0.8,0.550715933144456,0.112721856457185,-0.000575377570137168,,1,1,,-0.000575377570137168,not_significant,endothelial
OAS3,-0.00146939168175922,0.000359614887288655,4.388461694058e-05,0.430774506438242,5,0.180444750722256,0.13649977470911,0,5,1,0.680958373907985,0.00208671353552458,-0.00130042639396535,66.20867660956,2.37859451816078e-10,1.19054915093205e-08,,-0.00130042639396535,linear,endothelial
OASL,-0.000745477826044053,0.000596706562438833,0.211547820722921,0.0234979068123424,5,0.0705027962575208,0.0597418431445307,1,4,0.8,0.302641099279175,0.54520861113143,-0.000692569833348874,,1,1,,-0.000692569833348874,not_significant,endothelial
OLFM4,-0.00227624238843588,0.00177450777790673,0.199581150513559,0.960885043453544,5,0.0892151925574492,0.0627103819343211,1,4,0.8,0.305164768759165,0.529742324054493,-0.000659019618984039,,1,1,,-0.000659019618984039,not_significant,endothelial
OLR1,-0.000339016680601979,0.00116177236773829,0.770431974011814,0.527994657373769,5,0.0335020806276339,0.0302949985422354,2,3,0.6,0.17974386319998,0.90738889456873,-0.000196103236520168,,1,1,,-0.000196103236520168,not_significant,endothelial
OSM,-0.000853216904155814,0.000493834290048033,0.0840349766239022,0.0262018811956786,5,0.0462773993479817,0.0420366296482812,1,4,0.8,0.235283404231489,0.344260113118249,-0.000970197196537053,,1,1,,-0.000970197196537053,not_significant,endothelial
OSMR,0.000978512431049025,0.000511879139631131,0.0559264491455368,0.521064133653476,5,0.187945612128601,0.141297145431896,4,1,0.8,0.55865174766658,0.272748990448233,0.00128245638442592,,1,1,,0.00128245638442592,not_significant,endothelial
OXER1,-0.000897802614719423,0.000576607118999714,0.119460055782045,0.224922977848642,5,0.0468605051816905,0.0404728458215166,1,4,0.8,0.247976807814341,0.406860369425756,-0.000961994141591607,,1,1,,-0.000961994141591607,not_significant,endothelial
OXGR1,-0.000187757102440557,0.0011963901791693,0.875295015234556,0.688015865635643,5,0.0572238861353336,0.0484772986297013,2,3,0.6,0.247176465572985,0.948070113312145,-0.00177813978176887,,1,1,,-0.00177813978176887,not_significant,endothelial
P2RX5,0.000369920074908683,0.000431162256080642,0.390914415829255,0,5,0.0433883749900607,0.0382199369185507,4,1,0.8,0.225356988954205,0.731810254829964,0.000763176513598912,,1,1,,0.000763176513598912,not_significant,endothelial
P2RY12,-0.000931895807382176,0.000598429545234869,0.119414552904625,0,5,0.038060908054812,0.0342177105144584,0,5,1,0.18727743377148,0.406860369425756,-0.000327891607219964,10.0834490069056,0.433202795462518,1,,-0.000327891607219964,not_significant,endothelial
PARP1,-0.000354745467150038,0.000302148615926107,0.240364547450136,0,5,0.0853719950170956,0.0738158975854118,0,5,1,0.410091239283399,0.574648373455484,-0.000366312156041342,4.75782966820794,0.906757035332302,1,,-0.000366312156041342,not_significant,endothelial
PCNA,-1.04061010808376e-05,0.000527646565289575,0.984265359163505,0.378992473115939,5,0.101937501656551,0.0842587929709242,2,3,0.6,0.409438558525264,0.989296604874615,-5.68749586998694e-06,,1,1,,-5.68749586998694e-06,not_significant,endothelial
PDCD1,-0.000469680972153106,0.000374879342718222,0.21024730247942,0,5,0.0547854435580058,0.0463834185904742,1,4,0.8,0.250235580767184,0.54520861113143,-0.000528954583221448,,1,1,,-0.000528954583221448,not_significant,endothelial
PDCD1LG2,0.000597897003744162,0.000509174780458908,0.240296069737507,0.317978138993533,5,0.0583900978027512,0.0499350632139733,3,2,0.6,0.27492239310264,0.574648373455484,0.000904775451303074,,1,1,,0.000904775451303074,not_significant,endothelial
PDGFA,-0.000344020947501149,0.000676019517361032,0.610827903669677,0.717330720697657,5,0.199925786530255,0.149407617482573,1,4,0.8,0.722245009356295,0.836652521363867,-0.000806429968502527,,1,1,,-0.000806429968502527,not_significant,endothelial
PDGFB,-0.000372655892927425,0.000582003228441313,0.521978445452735,0.704088982423522,5,0.207797715285324,0.141986270508097,2,3,0.6,0.648858309702234,0.81572903684937,-0.000286704183240947,,1,1,,-0.000286704183240947,not_significant,endothelial
PDGFC,0.000371523213489866,0.000710219885352386,0.600897619492626,0.353050876381459,5,0.0697606615600732,0.0611465981075565,4,1,0.8,0.266029012937763,0.836652521363867,0.000896466138831419,,1,1,,0.000896466138831419,not_significant,endothelial
PDGFD,-0.00127085686491493,0.000877686260487514,0.147627515267648,0.650835865544881,5,0.0515783614726073,0.0440509952556389,2,3,0.6,0.324790452093233,0.462365855680546,-0.00146654951290523,,1,1,,-0.00146654951290523,not_significant,endothelial
PDGFRA,-0.000856742887037358,0.000350459039339325,0.014500057711759,0,5,0.0617297039412653,0.0525060298444168,1,4,0.8,0.286244052999341,0.12535958985348,-0.000889716499981527,,1,1,,-0.000889716499981527,not_significant,endothelial
PDGFRB,-0.00024265859190565,0.00065531440273639,0.711163898135961,0.689519449956666,5,0.259058019030454,0.161255267831111,1,4,0.8,0.903553055475037,0.886718856331307,-0.00053604591373405,,1,1,,-0.00053604591373405,not_significant,endothelial
PECAM1,0.00031193013996207,0.000273569874691618,0.254194204336364,0.652218958359294,5,1.22611253942591,0.499986747594688,4,1,0.8,1.41192668214371,0.586744389135637,3.89069632615915e-05,,1,1,,3.89069632615915e-05,not_significant,endothelial
PF4,-0.00116588474080509,0.000393158851441761,0.00302260903146402,0,5,0.0487158419253094,0.0424342018076281,0,5,1,0.245977955299671,0.0455520631033115,-0.00122463352304379,16.5712329505367,0.0844064283145204,1,,-0.00122463352304379,not_significant,endothelial
PGF,-0.000583430247932465,0.00090757242621276,0.520323356506311,0.921522531733001,5,0.178642423599883,0.118025921704789,2,3,0.6,0.747508596002831,0.81572903684937,-0.000517217467282635,,1,1,,-0.000517217467282635,not_significant,endothelial
PHLDA2,0.000188804084435409,0.000311954999447374,0.545027121873083,0,5,0.0823239417954359,0.0696546423175806,4,1,0.8,0.346834554073822,0.82345163068168,0.000181618550348925,,1,1,,0.000181618550348925,not_significant,endothelial
PIGR,-0.000376814412118195,0.000922444220924398,0.682909854936306,0.743342497012597,5,0.0749556044422063,0.0630814492830449,2,3,0.6,0.409765708352536,0.875265865288985,-0.00046651014517583,,1,1,,-0.00046651014517583,not_significant,endothelial
PLA2R1,-0.0018613241255136,0.00105933943013284,0.0789073918920479,0.714022510771119,5,0.0574889342415648,0.0494844814333802,1,4,0.8,0.296299835463476,0.33185539765599,-0.00298136644674885,,1,1,,-0.00298136644674885,not_significant,endothelial
PLAC8,-0.000710169412949917,0.000334818304321856,0.0339168288270703,0,5,0.0679053248164542,0.0566672851122479,2,3,0.6,0.280749565362042,0.198710578789698,-0.000671328711911177,,1,1,,-0.000671328711911177,not_significant,endothelial
PNOC,0.000637276593923754,0.00108205544786584,0.555894791690472,0.773113029344138,5,0.0638235839804925,0.0549444724217445,3,2,0.6,0.311857943088288,0.82345163068168,0.000785836870894851,,1,1,,0.000785836870894851,not_significant,endothelial
POU5F1,-0.000419702343247405,0.00043080373539592,0.329941868078296,0,5,0.0787192875506905,0.0681173633014392,1,4,0.8,0.365245095448476,0.660578350615705,-0.000477562358368315,,1,1,,-0.000477562358368315,not_significant,endothelial
PPARA,-0.000492545314459673,0.00080909134721459,0.542681182298204,0.45548112971818,5,0.0580985448858968,0.0503326353733203,1,4,0.8,0.310553535573982,0.82345163068168,-0.000707680019277782,,1,1,,-0.000707680019277782,not_significant,endothelial
PPARD,-0.000408283847090289,0.000798392831306039,0.609083487541084,0.279769047406302,5,0.068488430650163,0.0603514537888627,1,4,0.8,0.323806914086118,0.836652521363867,-0.000568098312302905,,1,1,,-0.000568098312302905,not_significant,endothelial
PPARG,-0.000486881518155142,0.000960267795890611,0.612136006745244,0.800304836806153,5,0.0903018897929974,0.0731532773198336,3,2,0.6,0.417801334752752,0.836652521363867,0.000569715621264206,,1,1,,0.000569715621264206,not_significant,endothelial
PPBP,0.00029406506857258,0.00135848754164599,0.828625268285169,0.742432114451742,5,0.0471255532879218,0.0395716822603302,2,3,0.6,0.195951529123448,0.933654929278509,-0.000201170832928639,,1,1,,-0.000201170832928639,not_significant,endothelial
PRF1,-0.0011408780638956,0.000626523812445297,0.0686121458843223,0.174434692899186,5,0.0646187282991863,0.0551035012854833,0,5,1,0.316996059072658,0.306338735849721,-0.000925684205775003,16.1401585963,0.0956898785184202,1,,-0.000925684205775003,not_significant,endothelial
PROK2,-0.000172603195499234,0.00045065018466176,0.701712895297624,0,5,0.0385910042672745,0.0336346046807496,2,3,0.6,0.177903630257339,0.88271026908471,-0.000258883265674485,,1,1,,-0.000258883265674485,not_significant,endothelial
PROKR1,-0.0013065850330415,0.000425485015877166,0.00213476611672196,0,5,0.0410294468446023,0.0361260568793236,2,3,0.6,0.210581538472105,0.0375956032778257,-0.00115330783913007,,1,1,,-0.00115330783913007,not_significant,endothelial
PRSS2,-0.00055719584516229,0.000408095460983547,0.17214098668748,0,5,0.0671631901190066,0.0576214582946805,1,4,0.8,0.273895012293439,0.496079025272102,-0.000418461131281364,,1,1,,-0.000418461131281364,not_significant,endothelial
PSAP,0.000750679435758506,0.00034566764475962,0.0298798244862039,0.785010995519292,5,0.827612711707175,0.431524821755149,4,1,0.8,1.10541450138235,0.184517617444025,0.00127101069551525,,1,1,,0.00127101069551525,not_significant,endothelial
PSCA,-0.00161337773448999,0.000451434406723567,0.000351714285147072,0,5,0.0458268175673885,0.0399957592303003,2,3,0.6,0.223301989274887,0.0104525089117146,-0.00158225770776964,,1,1,,-0.00158225770776964,not_significant,endothelial
PTGDR2,-0.000289035577694845,0.000342178661141384,0.398282827179144,0.712346130427016,5,0.489623366641045,0.301916297808052,1,4,0.8,0.759816796209648,0.733317871757811,-0.000792762060292038,,1,1,,-0.000792762060292038,not_significant,endothelial
PTGDS,0.00251702590836336,0.00103602980940139,0.0151200076690296,0.884746234807605,5,0.23419650666596,0.15454955074346,4,1,0.8,0.615456905109979,0.127248914099532,0.00373755703837289,,1,1,,0.00373755703837289,not_significant,endothelial
PTGES,-0.00136698911637979,0.000806090449239598,0.0899188431179707,0.587837706809095,5,0.0571708765140873,0.050279625752074,1,4,0.8,0.270983967603264,0.356303415854959,-0.00238746790064033,,1,1,,-0.00238746790064033,not_significant,endothelial
PTGES2,4.45639940298271e-06,0.000503427573117574,0.992937125351281,0.492283954198508,5,0.144080150547324,0.119563200720931,2,3,0.6,0.517571521494958,0.992937125351281,-0.000304475231290251,,1,1,,-0.000304475231290251,not_significant,endothelial
PTGES3,-0.00092641078293284,0.000671363202491037,0.1676189503368,0.784022149956997,5,0.215537119987278,0.166635744387606,2,3,0.6,0.634359609756004,0.488974299908887,-0.000249476963869659,,1,1,,-0.000249476963869659,not_significant,endothelial
PTGIS,-0.000457471692585316,0.00105554043360319,0.66472387802996,0.769138835717792,5,0.0608550451907021,0.0531156404887487,2,3,0.6,0.267615621318327,0.86718723403985,-0.000635593548379566,,1,1,,-0.000635593548379566,not_significant,endothelial
PTGS1,-0.000825043582946326,0.000344121461023541,0.0165057600172228,0,5,0.0643006705717088,0.0560046648466697,1,4,0.8,0.283784613533215,0.132173639594537,-0.00064129364661768,,1,1,,-0.00064129364661768,not_significant,endothelial
PTGS2,-0.000840074637044869,0.00122350872731259,0.492327850359068,0.846428234262927,5,0.0944366402502054,0.06414164170797,1,4,0.8,0.257475002571008,0.798338684631952,-0.0023848988261426,,1,1,,-0.0023848988261426,not_significant,endothelial
PTHLH,-0.000191049776994857,0.000609347526870392,0.753876727029186,0.363092793639784,5,0.0700257096663044,0.0542553473455432,2,3,0.6,0.414351554752349,0.906367594696278,-0.000369303597122421,,1,1,,-0.000369303597122421,not_significant,endothelial
PTK2,-0.000304567446509332,0.000650060672045339,0.639411649687475,0.59785728439169,5,0.118211455379151,0.0974051790399958,3,2,0.6,0.501130261311126,0.856904783525318,3.05029434333951e-05,,1,1,,3.05029434333951e-05,not_significant,endothelial
