cell_type,pathway,pathway_clean,pval,padj,ES,NES,size,leadingEdge
macrophage,HALLMARK_GLYCOLYSIS,Glycolysis,0.0403288958496476,0.170156304677476,-0.622689145929984,-1.49637565038473,18,"IGFBP3,MIF,VEGFA,EGFR,G6PD,SOX9,SOD1"
macrophage,HALLMARK_ANGIOGENESIS,Angiogenesis,0.0442775763852926,0.170156304677476,-0.609814648963799,-1.47919549032858,19,"SPP1,APP,VEGFA,FGFR1,TIMP1,COL5A2,S100A4"
macrophage,HALLMARK_APICAL_JUNCTION,Apical Junction,0.0453750145806602,0.170156304677476,-0.51910999031328,-1.42714324195001,38,"CLDN4,CDH1,MMP9,SRC,EGFR,ITGB4,ITGB1,ITGA2,CX3CL1,MAPK13,ICAM1,ITGA9,RAC2"
macrophage,HALLMARK_HYPOXIA,Hypoxia,0.0969555035128806,0.323185011709602,-0.488412790077075,-1.33623232513477,37,"IGFBP3,NDRG1,MIF,VEGFA,TGFB3,DDIT3,EGFR,CDKN1A,BCL2"
macrophage,HALLMARK_APOPTOSIS,Apoptosis,0.147537403079611,0.404443485763589,-0.417403503980459,-1.23890274023823,67,"APP,IL1B,TOP2A,HMGB2,HSPB1,CCND1,TIMP1,ERBB2,DDIT3,LMNA,CDKN1A,ANXA1,SOD1,BID,KRT18,CTNNB1,ATF3,TNFRSF12A,CD44,TAP1,BGN,GSN,RELA,CASP3,IGFBP6,TNFSF10,CAV1,IER3,CD38,IFNGR1,HGF"
macrophage,HALLMARK_KRAS_SIGNALING_DN,Kras Signaling Dn,0.155211652253072,0.404443485763589,0.404880470199292,1.2706490950974,20,"SELENOP,PDCD1"
macrophage,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,0.161777394305436,0.404443485763589,-0.405989830803841,-1.21692009520788,75,"SPP1,CXCL8,IGFBP3,COL4A1,VEGFA,TIMP1,CALD1,ITGB1,COL5A2,ITGA2,FN1,CXCL1,TPM1,MMP14,MMP1,COL4A2,WNT5A,ITGA5"
macrophage,HALLMARK_IL6_JAK_STAT3_SIGNALING,Il6 Jak Stat3 Signaling,0.18984670073317,0.438107770922701,-0.414426946264097,-1.20974025576056,58,"CXCL10,IL1B,CCL7,CXCL9,TNFRSF1B,CXCL1,TLR2,STAT1,IFNAR1,LTB,TNFRSF12A,CNTFR,IFNGR2,OSMR,CD44,TYK2"
macrophage,HALLMARK_COMPLEMENT,Complement,0.267075002889171,0.560181190681622,-0.415962147063942,-1.15604577316789,41,"MMP12,SRC,HSPA1A,TIMP1,DUSP6,FN1,CXCL1,MMP14,COL4A2,GZMB"
macrophage,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling via Nfkb,0.280090595340811,0.560181190681622,-0.376766024609647,-1.12932421393725,75,"CXCL10,CCL2,IL1B,VEGFA,CCND1,CCL4,CDKN1A,CCL20,CXCL1,TLR2,MYC,DUSP4,DUSP2,ICAM1,NFKB1,IFIH1,ATF3,EFNA1,IFNGR2,CD44,JAG1,TAP1"
macrophage,HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,0.343639367476988,0.644323814019353,-0.404129160431619,-1.09734756472975,35,"KRT19,CDH1,TOP2A,CCND1,BCL2,SFN,CELSR2,DUSP2,MAPK13"
macrophage,HALLMARK_TGF_BETA_SIGNALING,Tgf Beta Signaling,0.373076408403586,0.658370132476917,-0.469231741541973,-1.0875795784972,15,"CDH1,CTNNB1,IFNGR2,HDAC1,BMPR2"
macrophage,HALLMARK_PI3K_AKT_MTOR_SIGNALING,Pi3k Akt Mtor Signaling,0.433560818948214,0.702307699738222,-0.447530264451222,-1.03728016092249,15,"DDIT3,EGFR,CDKN1A,SFN,RAC1"
macrophage,HALLMARK_ANDROGEN_RESPONSE,Androgen Response,0.455506490030778,0.702307699738222,-0.440658706515368,-1.02135334817335,15,"KRT19,NDRG1,CCND1,KRT8"
macrophage,HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,0.485908542603356,0.702307699738222,-0.340204790506418,-1.0048490789694,64,"CXCL10,CCL2,MX1,IDO1,CCL7,CD40,CXCL9,CDKN1A,HIF1A,STAT1,IFNAR2,ICAM1,NFKB1,IFIH1,LGALS3BP,OAS2"
macrophage,HALLMARK_COAGULATION,Coagulation,0.507842205323194,0.702307699738222,-0.364732112571994,-0.980714852824969,33,"MMP9,TIMP1,MMP7,DUSP6,ANXA1,ITGA2,FN1,MMP14,MMP1"
macrophage,HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,0.52130356065178,0.702307699738222,-0.365301318951886,-0.967369146281753,30,"KRT19,CCND1,KRT8,BCL2,MYC,SFN,CELSR2,KRT18"
macrophage,HALLMARK_IL2_STAT5_SIGNALING,Il2 Stat5 Signaling,0.538435903132637,0.702307699738222,-0.330980080830458,-0.966153217702041,58,"SPP1,CXCL10,NDRG1,AHR,BCL2,TNFRSF1B,IL1RL1,MYC,LTB,ALCAM,ANXA4,ITGAV,CD44,ETV4,CASP3,BMPR2,IL4R,TNFSF10,BATF3,IFNGR1,CD83"
macrophage,HALLMARK_UV_RESPONSE_UP,Uv Response Up,0.683090563647879,0.826264530317311,-0.342310731373125,-0.852744487194675,22,"EPCAM,MMP14,BID,ICAM1,ATF3,LYN,TAP1,CASP3"
macrophage,HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,0.688553775264426,0.826264530317311,-0.290738167151531,-0.895731618681796,101,"MMP9,CCL2,IL1B,EIF5A,TIMP1,CCL7,CD40,CCL4,EGFR,CXCL9,HIF1A,CCL11,TLR2,STAT1,IFNAR2,LTB,ICAM1,GZMB"
macrophage,HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon Alpha Response,0.77998741346759,0.863495968040246,-0.310311334036468,-0.779981762295402,23,"CXCL10,MX1"
macrophage,HALLMARK_MYOGENESIS,Myogenesis,0.784458174904943,0.863495968040246,-0.290879919324151,-0.782136388425119,33,"APP,IGFBP3,CDKN1A,ITGB4,ITGB1,COL4A2"
macrophage,HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism,0.805929570170896,0.863495968040246,-0.307671741928612,-0.746303247938797,19,"PTGES3,EPHA2,ESR1"
macrophage,HALLMARK_ADIPOGENESIS,Adipogenesis,0.841357537490134,0.870369866369105,-0.298551989446396,-0.710291388521595,17,"COL4A1,SOD1,COL15A1,LEP,LIFR,IFNGR1"
macrophage,HALLMARK_UV_RESPONSE_DN,Uv Response Dn,0.943378119001919,0.943378119001919,-0.235131771801867,-0.626499835621861,31,"ERBB2,COL5A2,MYC,NFKB1,RXRA,ANXA4,COL11A1"
T CD4 memory,HALLMARK_COAGULATION,Coagulation,0.0128333667535593,0.243833968317626,0.527182461178697,1.68212152533828,23,"CFD,MMP9,CLU,C1QA,PECAM1,THBS1,FYN,FGG"
T CD4 memory,HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,0.0296091590998816,0.264568072328912,-0.384579130468493,-1.46774392883105,53,"CXCL10,CIITA,OAS3,MX1,IDO1,BST2,ICAM1,CCL2,STAT1,CXCL9,LGALS3BP,CD40,IFNAR2,OASL,FPR1,OAS2,IFIH1,XCL1,IL15RA,HIF1A,IL2RB,IFI27,IFITM3,CDKN1A"
T CD4 memory,HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon Alpha Response,0.0417739061571966,0.264568072328912,-0.49584344668008,-1.51499478629502,20,"CXCL10,MX1,BST2,OAS1,LGALS3BP,CD47,OASL"
T CD4 memory,HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,0.0878836189717019,0.405383848454636,-0.492203691425844,-1.41099952811317,16,"KRT19,CELSR1,CCND1"
T CD4 memory,HALLMARK_MYOGENESIS,Myogenesis,0.120353626682741,0.405383848454636,0.39933076902532,1.31425236475398,26,"CFD,CLU,IGF1,GPX3,GADD45B"
T CD4 memory,HALLMARK_APICAL_JUNCTION,Apical Junction,0.149850746268657,0.405383848454636,-0.389621971666806,-1.26982090281345,26,"ITGA3,PTK2,CDH1,ICAM1,EGFR,COL16A1,MAPK13"
T CD4 memory,HALLMARK_KRAS_SIGNALING_UP,Kras Signaling Up,0.169370795409577,0.405383848454636,-0.374757251407748,-1.24339313229078,28,"CXCL10,CSF2RA,SLPI,ETV5,IGFBP3,SPP1,DUSP6"
T CD4 memory,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling via Nfkb,0.175166297117517,0.405383848454636,0.313985240496112,1.20470979235427,50,"KLF2,IL7R,BTG1,FOS,CD69,GPR183,DUSP5,DUSP2,TNFRSF9,TNFSF9,JUNB,GADD45B"
T CD4 memory,HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,0.192023928215354,0.405383848454636,-0.387472986378681,-1.226900010714,23,"KRT19,CCND1,CDH1,TPSAB1,S100A9,FABP5,MAPK13"
T CD4 memory,HALLMARK_IL6_JAK_STAT3_SIGNALING,Il6 Jak Stat3 Signaling,0.294549058473736,0.559643211100099,-0.317819342262492,-1.11585821119158,36,"CXCL10,CSF2RA,TLR2,TNFRSF12A,STAT1,CXCL9"
T CD4 memory,HALLMARK_APOPTOSIS,Apoptosis,0.424296472453428,0.692942646671928,-0.266737040899501,-1.0144836651174,52,"PTK2,CCND1,TNFRSF12A,IGF2R,IER3,HSPB1,SOD1,BRCA1,APP,LGALS3,HMGB2,BCL2L1"
T CD4 memory,HALLMARK_HYPOXIA,Hypoxia,0.437647987371744,0.692942646671928,-0.302738938758561,-1.01329502060596,29,"MIF,TGFB3,IGFBP3,VEGFA,IER3,EGFR,ANXA2,S100A4,NDRG1,RBPJ,CAV1,RORA"
T CD4 memory,HALLMARK_P53_PATHWAY,P53 Pathway,0.541749900119856,0.737433214915103,-0.293249461902146,-0.944952802663506,25,"KRT17,IER3,APP,S100A4,NDRG1,SAT1,RB1,RXRA,PCNA,CDKN1A,S100A10,SFN"
T CD4 memory,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,0.543371842569023,0.737433214915103,-0.242793513801079,-0.950810231019046,60,"IGFBP3,VEGFA,TNFRSF12A,SPP1,COL16A1,COL4A1,DST,COL11A1,VCAN,LGALS1,SAT1,THBS2,SERPINH1,SNAI2,PDGFRB"
T CD4 memory,HALLMARK_UV_RESPONSE_DN,Uv Response Dn,0.600398803589232,0.760505151213028,-0.285151490963874,-0.902907762908607,23,"ACVR2A,IGFBP5,ANXA2,COL11A1,SNAI2,PDGFRB,CAV1"
T CD4 memory,HALLMARK_COMPLEMENT,Complement,0.644873096446701,0.765786802030457,0.2593467648246,0.884368391345046,30,"CLU,DUSP5,C1QA,SPOCK2,CD40LG,FYN,CD55,GZMA"
T CD4 memory,HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,0.811424100156495,0.906885758998435,-0.208858066124562,-0.80205205784734,54,"CXCL10,ACVR2A,TLR2,BST2,ICAM1,CCL2,CXCL9,CD40,FPR1,TNFRSF1B,CD70,OSMR,IFNGR2,IL15RA,HIF1A,MMP14,AXL,IL2RB"
T CD4 memory,HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,0.910101404056162,0.933983343489742,-0.185554920435008,-0.760721849205003,76,"ACVR2A,GZMB,TLR2,ICAM1,CCL2,STAT1,EIF5A,EGFR,CXCL9,CD40,BRCA1,CD47,ITGAL,CXCR3,IFNAR2"
T CD4 memory,HALLMARK_IL2_STAT5_SIGNALING,Il2 Stat5 Signaling,0.933983343489742,0.933983343489742,0.190427325186516,0.691042873294982,39,"ITGA6,TNFRSF9,LTB,COL6A1,GADD45B,FLT3LG,SELL,CD48,BCL2,IL10RA,ANXA4"
endothelial,HALLMARK_KRAS_SIGNALING_DN,Kras Signaling Dn,0.00280540678398368,0.0841622035195103,-0.627345760200437,-1.71915615913023,20,"EGF,KRT5,CPB1,CELSR2,KRT4,CD80,CD40LG,GDNF,MX1,CNTFR,TGFB2"
endothelial,HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,0.0175148402700188,0.262722604050281,0.331359228017674,1.48390775450858,64,"VCAM1,ICAM1,CD86,IFIT1,CD274,CMKLR1,HLA-DRB1,GZMA,IFI27,IL6,CD74,NFKBIA,CSF2RB,MT2A,IFITM3"
endothelial,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling via Nfkb,0.0295404814004376,0.284202374806402,0.294192169907418,1.35353232307686,75,"CXCL2,DUSP1,ICAM1,FOS,IL6ST,CXCL3,DUSP4,IL6,GADD45B,NFKBIA,KLF2,GPR183,JUN,CDKN1A,ZFP36,CD69,JUNB,JAG1,DUSP5"
endothelial,HALLMARK_UV_RESPONSE_UP,Uv Response Up,0.0383895131086142,0.284202374806402,0.433035882276337,1.51346199880002,22,"CXCL2,GPX3,ICAM1,FOS,IL6ST,IL6,NFKBIA"
endothelial,HALLMARK_GLYCOLYSIS,Glycolysis,0.0473670624677336,0.284202374806402,-0.550522236704032,-1.47073558257197,18,"SOX9,MIF,EGFR,STMN1,VCAN,COL5A1,CD44"
endothelial,HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,0.0756477956527079,0.351712283485389,-0.46754810100403,-1.38681956022919,29,"PTGES,KRT19,DHRS2,AQP3,CELSR2,CELSR1,SFN,KRT8,CD44,AREG,AR,IL17RB,SLC2A1,INHBB"
endothelial,HALLMARK_KRAS_SIGNALING_UP,Kras Signaling Up,0.0879698389123729,0.351712283485389,-0.397335472269595,-1.32276814416394,55,"INHBA,SPP1,PTGS2,SOX9,CXCL10,ETV4,NR1H4,SERPINA3,MMP10,LIF,WNT7A,EPHB2,ITGA2,IGF2,ETS1,IL1B,ATG10,ETV5,BMP2,FGF9"
