ligand,receptor,cell_type,ligand_pct_query,ligand_mean_query,receptor_gradient_coef,receptor_fdr,receptor_pct_target,n_samples_supporting,n_samples_total,reproducibility,median_per_sample_score,direct_score,nichenet_activity,nichenet_auroc,enrichment_pval,enrichment_fdr,enrichment_odds_ratio,n_downstream_overlap,enrichment_score,scaled_direct,scaled_activity,scaled_enrichment,scaled_expression,combined_score
COL11A1,DDR1,fibroblast,5.6739207377784,0.192467032277713,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,4,5,0.8,0.000128727823119729,0.000102982258495784,0.0308289270235744,0.654233401411731,0.0472532908571376,0.0685934867281029,1.477419492984,35,1.32556794056578,0.0992330171485821,1,0.752487000094336,0.015206539031214,0.491711260781421
MMP2,DDR1,fibroblast,12.7569770403522,0.448958115942366,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,5,5,1,0.000263377111015317,0.000263377111015317,0.0222432143619957,0.646619370095669,0.109957472159979,0.123702156179976,1.34367903799055,33,0.958775252819034,0.353045156703586,0.703558225173553,0.544269283889401,0.250139886993253,0.486153375710706
COL5A1,DDR1,fibroblast,11.0031655932758,0.387068666988134,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,4,5,0.8,0.000200224986645515,0.000160179989316412,0.0266328811528216,0.653086817872371,0.109957472159979,0.123702156179976,1.34367903799055,33,0.958775252819034,0.189743892087707,0.855121719744297,0.544269283889401,0.191968840857974,0.460484813622049
COL4A1,ITGB8,fibroblast,18.0402430593458,0.637938144862187,-0.00117413952288575,3.88772166036719e-06,0.0633296430452401,5,5,1,9.05739784024106e-05,9.05739784024106e-05,0.0237065883249771,0.634239850944141,0.0472532908571376,0.0685934867281029,1.477419492984,35,1.32556794056578,0.0795978975096074,0.754084627805488,0.752487000094336,0.425377146305338,0.45109966199489
COL8A1,DDR1,fibroblast,7.39531545120455,0.252151457375062,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,4,5,0.8,0.000130006217887645,0.000104004974310116,0.0273826930602416,0.655541223261315,0.0735225872574499,0.0894193628806823,1.40947117784152,34,1.13357921854437,0.100851383853716,0.881010726444497,0.643500494714483,0.0723023753360031,0.440574107951332
COL5A2,DDR1,fibroblast,8.12039177938097,0.273745660641291,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,4,5,0.8,0.000192893160500088,0.00015431452840007,0.0243066605083919,0.651850657493997,0.109957472159979,0.123702156179976,1.34367903799055,33,0.958775252819034,0.180462265144775,0.774803520934942,0.544269283889401,0.0963519666465522,0.423115015780928
IAPP,RAMP1,fibroblast,5.21545550472524,0.176647281452921,-0.000640517575499261,2.5469748990132e-16,0.274460698431807,4,5,0.8,5.03407866558674e-05,4.02726293246939e-05,0.0245716684866856,0.636120964563404,0.0291827650454505,0.0547176844602197,1.5476074826871,36,1.53487356141138,0,0.783953540103427,0.871303813562055,0,0.409446824743439
VCAM1,EZR,fibroblast,5.9173770231515,0.200994943891205,-0.000584142199465234,3.8004265834728e-12,0.104087621053989,4,5,0.8,7.99784838290888e-05,6.39827870632711e-05,0.0265100767888096,0.660736679924039,0.0735225872574499,0.0894193628806823,1.40947117784152,34,1.13357921854437,0.0375194451086391,0.850881612363687,0.643500494714483,0.0232815842887706,0.401300519124335
MMP9,DDR1,fibroblast,6.10526176512423,0.209905019389061,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,4,5,0.8,0.000127334665171275,0.00010186773213702,0.0232823854788548,0.649485828944069,0.0735225872574499,0.0894193628806823,1.40947117784152,34,1.13357921854437,0.0974693675347402,0.739438034150695,0.643500494714483,0.0295134126940589,0.392470597471407
ADM2,RAMP1,fibroblast,7.66523437629212,0.252844913505849,-0.000640517575499261,2.5469748990132e-16,0.274460698431807,5,5,1,7.93034941143208e-05,7.93034941143208e-05,0.0235026516214478,0.646314808843025,0.0735225872574499,0.0894193628806823,1.40947117784152,34,1.13357921854437,0.0617632495390139,0.747043236982217,0.643500494714483,0.0812551429041637,0.385643884143584
