ligand,auroc,aupr,activity,pearson,cell_type
CEACAM6,0.668404457343509,0.0962710843668513,0.0298854152414562,0.0981746601648659,fibroblast
GDF10,0.670016840445733,0.0960270589114662,0.0296413897860711,0.0956566750672988,fibroblast
WNT9A,0.648160091726683,0.0958017074333889,0.0294160383079938,0.0589317164933553,fibroblast
NPPC,0.652764341251926,0.0957836336388601,0.0293979645134649,0.0975090647132285,fibroblast
WNT7B,0.650041205345945,0.0957744279341163,0.0293887588087211,0.0541402553315865,fibroblast
DLL1,0.652621018309507,0.0957621029320726,0.0293764338066775,0.0637595755290764,fibroblast
CD24,0.607313053136981,0.0956999129300739,0.0293142438046788,0.043137692950666,fibroblast
CALM2,0.661686194417572,0.0956647320253911,0.0292790628999959,0.0845336486769086,fibroblast
MMP1,0.670464724640799,0.0956365174621945,0.0292508483367994,0.102047036132829,fibroblast
BMP1,0.65860475115554,0.0956043593670013,0.0292186902416062,0.099631263889634,fibroblast
FN1,0.665537998495109,0.0955642997270021,0.0291786306016069,0.0383139680393381,fibroblast
CD59,0.663226916048586,0.0955627461248496,0.0291770769994544,0.0707907020791965,fibroblast
CXCL17,0.662976100899351,0.0955036840057692,0.029118014880374,0.091119648235147,fibroblast
MMP7,0.664678060840589,0.0954520144199649,0.0290663452945697,0.0703432172858346,fibroblast
LCN2,0.648554229818339,0.0954066078902604,0.0290209387648653,0.0810222854910588,fibroblast
WNT5B,0.64821383783009,0.0954062304732364,0.0290205613478412,0.0511930028636754,fibroblast
APOD,0.640993944605685,0.0952447348091233,0.0288590656837281,0.0252957245639409,fibroblast
BMP2,0.64534737898169,0.0951882273252087,0.0288025581998136,0.0651924084878961,fibroblast
SOSTDC1,0.661937009566806,0.0951457776875099,0.0287601085621148,0.0494075844079298,fibroblast
LEFTY1,0.663997276864094,0.0949974694394348,0.0286118003140397,0.0978285853731095,fibroblast
TTR,0.662313232290661,0.0949583606287725,0.0285726915033773,0.092452348446209,fibroblast
COL3A1,0.660342541832383,0.0948202147394146,0.0284345456140194,0.0928374934229066,fibroblast
CD34,0.656436991651439,0.0946689684141038,0.0282832992887086,0.0622439555896683,fibroblast
WNT10B,0.652621018309506,0.0945795184743922,0.028193849348997,0.0549767819947105,fibroblast
COL6A2,0.660897918234262,0.0945711550347787,0.0281854859093836,0.0893101012107923,fibroblast
CFD,0.650901143000466,0.0944838594283996,0.0280981903030044,0.0701337473416987,fibroblast
HSP90B1,0.662438639865277,0.0944681279596687,0.0280824588342735,0.0224892335145825,fibroblast
WNT11,0.649933713139131,0.0944111920739858,0.0280255229485906,0.0526208006612147,fibroblast
NRXN1,0.652280626321258,0.0941343925049969,0.0277487233796018,0.0954957261875685,fibroblast
FLT3LG,0.661614532946361,0.0940821750537579,0.0276965059283628,0.061700182375235,fibroblast
IL34,0.644147049338925,0.0940558007321592,0.0276701316067641,0.0842173956296789,fibroblast
CD44,0.657744813501023,0.0939548829100486,0.0275692137846534,0.0233469130754485,fibroblast
COL9A1,0.646547708624458,0.0939009427201278,0.0275152735947327,0.0822258114357764,fibroblast
MMP12,0.647891361209646,0.0938244140713091,0.0274387449459139,0.0876635764632305,fibroblast
COL8A1,0.655541223261315,0.0937683621856368,0.0273826930602416,0.0892535455162241,fibroblast
WNT3,0.640635637249633,0.0936576554668222,0.027271986341427,0.05658481514535,fibroblast
GDF15,0.666487512988642,0.0935266076573819,0.0271409385319868,0.0512118984052095,fibroblast
COL4A5,0.655003762227239,0.0934448311164078,0.0270591619910127,0.0816077220195684,fibroblast
LGALS3BP,0.661722025153177,0.0934300984450266,0.0270444293196314,0.0817768109199917,fibroblast
