ligand,receptor,cell_type,ligand_pct_query,ligand_mean_query,receptor_gradient_coef,receptor_fdr,receptor_pct_target,n_samples_supporting,n_samples_total,reproducibility,median_per_sample_score,direct_score
ICOSLG,CD28,fibroblast,13.614366567101,0.471539821606776,0.00141840234954908,0.0080731559869445,0.0545481905048529,5,5,1,0.00021566911624188,0.00021566911624188
IL11,IL6ST,fibroblast,24.3261123405213,0.840441048015914,0.00100862829882243,7.91672869462207e-18,0.173694336661758,5,5,1,0.000214338358446427,0.000214338358446427
IL11,IL6R,fibroblast,24.3261123405213,0.840441048015914,0.000866411891220922,1.12528503690741e-05,0.0591592592194503,5,5,1,0.000207786060339935,0.000207786060339935
HLA.DRA,CD53,fibroblast,14.4972263845749,0.51453822062176,0.00116513088239514,6.76884989218377e-16,0.101164053011168,4,5,0.8,0.000236600248601262,0.00018928019888101
TGFB1,ITGB8,fibroblast,15.1855858001475,0.519560590412491,-0.00117413952288575,3.88772166036719e-06,0.0633296430452401,5,5,1,0.000180002591073345,0.000180002591073345
COL4A5,DDR1,fibroblast,10.0872274761588,0.346232078079334,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,5,5,1,0.000171670465121734,0.000171670465121734
CLCF1,IL6ST,fibroblast,14.4760562728034,0.496050413242519,0.00100862829882243,7.91672869462207e-18,0.173694336661758,5,5,1,0.000170767365674356,0.000170767365674356
LIF,IL6ST,fibroblast,17.0333396182103,0.593038636985757,0.00100862829882243,7.91672869462207e-18,0.173694336661758,5,5,1,0.000162512906372024,0.000162512906372024
COL5A1,DDR1,fibroblast,11.0031655932758,0.387068666988134,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,4,5,0.8,0.000200224986645515,0.000160179989316412
CD48,CD2,fibroblast,8.28909110756071,0.282834753219591,0.00188161942709366,3.01998252001135e-14,0.0707460472715156,5,5,1,0.00015852952504775,0.00015852952504775
COL5A2,DDR1,fibroblast,8.12039177938097,0.273745660641291,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,4,5,0.8,0.000192893160500088,0.00015431452840007
ICAM1,ITGB2,fibroblast,16.0763844095358,0.578051480260065,0.000729463511259132,0.00377684919902262,0.0923396068230919,5,5,1,0.000130358370345162,0.000130358370345162
IL1RN,IL1R2,fibroblast,14.7737609695911,0.515901811207687,-0.000676303570241836,1.5013110737537e-11,0.0524200049442695,5,5,1,0.000130314111660146,0.000130314111660146
IL1A,IL1R2,fibroblast,9.94267530671853,0.336908292487194,-0.000676303570241836,1.5013110737537e-11,0.0524200049442695,5,5,1,0.000120669333000691,0.000120669333000691
BMP7,ENG,fibroblast,19.0709628762243,0.665051534409838,0.000565648054965083,0.000235699279151855,0.151885808871739,5,5,1,0.000115606161214561,0.000115606161214561
IL12A,CD28,fibroblast,8.96256528829392,0.309161206275435,0.00141840234954908,0.0080731559869445,0.0545481905048529,5,5,1,0.000114993652514498,0.000114993652514498
CD2,CD53,fibroblast,7.67747334716006,0.261057719733244,0.00116513088239514,6.76884989218377e-16,0.101164053011168,5,5,1,0.000111626425227071,0.000111626425227071
ICAM3,ITGB2,fibroblast,15.4498814142958,0.539966592613114,0.000729463511259132,0.00377684919902262,0.0923396068230919,5,5,1,0.000104422985352026,0.000104422985352026
COL8A1,DDR1,fibroblast,7.39531545120455,0.252151457375062,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,4,5,0.8,0.000130006217887645,0.000104004974310116
IL6,IL6ST,fibroblast,9.99857763311535,0.34215163794472,0.00100862829882243,7.91672869462207e-18,0.173694336661758,5,5,1,0.000103917349979232,0.000103917349979232
COL11A1,DDR1,fibroblast,5.6739207377784,0.192467032277713,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,4,5,0.8,0.000128727823119729,0.000102982258495784
MMP9,DDR1,fibroblast,6.10526176512423,0.209905019389061,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,4,5,0.8,0.000127334665171275,0.00010186773213702
