gene,sample_id,coef,se,n_cells,pval,dispersion
ACVR1,Lung9,-0.00165208391280602,0.000599286746797593,21893,0.00583789150268365,0.254525981285865
ACVR1,Lung12,-0.000642414575854208,0.000461636208853905,16548,0.164042490623365,0.465686939986939
ACVR1,Lung13,-0.000861458597597291,0.000699705497390358,13609,0.218258123958897,0.288694658265862
ACVR1B,Lung5,0.00038978019876776,0.000303534529318533,37735,0.19909370245333,0.416671893042422
ACVR1B,Lung6,0.00433527989528169,0.00154522870255538,3252,0.00502243818581504,0.256128923253631
ACVR1B,Lung9,-0.000486825707080863,0.000560172026901658,21893,0.384811769956745,0.285640393489929
ACVR1B,Lung12,0.000783505830863263,0.00049827608827186,16548,0.115850135137492,0.429274101247813
ACVR1B,Lung13,0.00142417092374538,0.000735203962492249,13609,0.0527319024874992,0.268496618647855
ACVR2A,Lung5,0.000358890498218534,0.000308960937066717,37735,0.245396043656149,0.401415930590853
ACVR2A,Lung6,-0.00249660434009255,0.00160261562484251,3252,0.119273309566239,0.270092144690705
ACVR2A,Lung9,0.000981379690635173,0.000693260163311988,21893,0.156892396325426,0.209798213985018
ACVR2A,Lung12,-0.000314652536291984,0.000453625692635065,16548,0.487908540250448,0.473446935669441
ACVR2A,Lung13,-0.00134114723953756,0.000679355084817915,13609,0.048364957318201,0.29590020925966
ACVRL1,Lung5,-0.000420963173756918,0.000285930862540177,37735,0.140952000219313,0.43907984112111
ACVRL1,Lung6,0.00175869678459848,0.0011914178806767,3252,0.139906944767738,0.382788060464891
ACVRL1,Lung9,-0.000235811624524557,0.000515317828994228,21893,0.647236795333432,0.310184905675258
ACVRL1,Lung12,-0.000275625638031965,0.000433565630725497,16548,0.524959997917516,0.500666767680516
ACVRL1,Lung13,0.00178587161761545,0.000638285460791441,13609,0.00514328595815784,0.329530398197626
ADGRA2,Lung5,-0.001135001856294,0.000212717590258154,37735,9.51652857892361e-08,0.606093024989616
ADGRA2,Lung6,0.00136897359760915,0.00109265715746389,3252,0.2102476165777,0.41860550926394
ADGRA2,Lung9,0.000282015034857664,0.000461486087036864,21893,0.541132107364002,0.363331657406215
ADGRA2,Lung12,4.13658800625719e-05,0.000371559654654864,16548,0.91135436001548,0.588747887599045
ADGRA2,Lung13,0.00262999921545544,0.000569038296721733,13609,3.80366620908436e-06,0.392241488232804
ADGRA3,Lung5,-0.000938840172691221,0.000288615930484071,37735,0.00114231723471199,0.416945995225341
ADGRA3,Lung6,0.00432355426055163,0.00137431814592894,3252,0.00165540854491196,0.308474834519169
ADGRA3,Lung9,-0.000931962108676886,0.000547661281123817,21893,0.088809255183484,0.289304797078504
ADGRA3,Lung12,0.000381562331275004,0.000495136479854227,16548,0.44093189503669,0.43572528971494
ADGRA3,Lung13,-0.000741898131992699,0.000766252143996414,13609,0.332936149887227,0.254566308625906
ADGRB2,Lung5,-0.000271431827789508,0.000447625129758651,37735,0.544261108974838,0.239651825564548
ADGRB2,Lung6,-0.00212940729227706,0.00270542693791518,3252,0.431230739864094,0.12801671462402
ADGRB2,Lung9,0.000171104226369141,0.000822009776975358,21893,0.83510910137977,0.171893003289761
ADGRB2,Lung12,0.000187104443765737,0.000597377573645986,16548,0.754121358125783,0.331618250407948
ADGRB2,Lung13,-0.000514958220876114,0.00106918493282833,13609,0.630064370614515,0.157184257032225
ADGRB3,Lung5,0.000384043635106644,0.000368089256493212,37735,0.296789102870853,0.315761679047024
ADGRB3,Lung6,0.00447201546541786,0.00159674302448975,3252,0.0050990189304094,0.250516950544284
ADGRB3,Lung9,0.00199366920171618,0.000721173603388666,21893,0.0057013796322681,0.202811164829949
ADGRB3,Lung12,0.00121634000914837,0.000531524567624781,16548,0.0221143264690327,0.389198502440546
ADGRB3,Lung13,7.14026291903472e-05,0.000826023569845019,13609,0.93111554207895,0.224282011550712
ADGRD1,Lung5,0.000112738704651869,0.000296616939970297,37735,0.703884684816619,0.421735853136004
ADGRD1,Lung6,-6.41512032557189e-05,0.00132915228577254,3252,0.961505246940033,0.343342324270071
ADGRD1,Lung9,0.000600699462803614,0.000765925188434066,21893,0.432876095711762,0.180641689589919
ADGRD1,Lung12,-0.00056266730884077,0.000516644594345976,16548,0.276118596708923,0.405903422433871
ADGRD1,Lung13,0.0013211668089948,0.000963312576728397,13609,0.170224443812335,0.188199657385413
ADGRE2,Lung5,-0.00108332887412042,0.000373042802770169,37735,0.00368388494371706,0.300551918999578
ADGRE2,Lung6,-0.00385481272042786,0.00146685292068422,3252,0.0085901728322841,0.33236489977996
ADGRE2,Lung9,-0.00251035725374277,0.000619650187012059,21893,5.09449383014928e-05,0.253874587377386
ADGRE2,Lung12,0.000250720816171128,0.000521892638360509,16548,0.630938100305173,0.400148550771831
ADGRE2,Lung13,0.00125491406051029,0.000791677535996268,13609,0.112936155711704,0.242369879288809
ADGRE5,Lung5,0.000109194104375679,0.000305199822113841,37735,0.720508665056435,0.422313825498914
ADGRE5,Lung6,0.00282459871469925,0.00163453600354728,3252,0.0839750081101452,0.236888113405427
ADGRE5,Lung9,-0.000288986842171924,0.000622629558589242,21893,0.642547952737899,0.245498112909632
ADGRE5,Lung12,0.00071963174881588,0.000487969047427783,16548,0.140280101002502,0.430344644317747
ADGRE5,Lung13,0.000545630036894996,0.000687340914835193,13609,0.42729593134416,0.298029857024135
ADGRF1,Lung5,-0.00134625047272527,0.000414785991142234,37735,0.00117182493839725,0.262544024048753
ADGRF1,Lung6,0.00136578513934709,0.00287620057449185,3252,0.634888613839454,0.107232937510848
ADGRF1,Lung9,-0.000352345025645768,0.00074063096783484,21893,0.634262266658339,0.200022406284606
ADGRF1,Lung12,0.000219176033176393,0.000462193092415322,16548,0.635351016436561,0.470529925462137
ADGRF1,Lung13,-0.00125723328258559,0.000919057766249203,13609,0.17132493062266,0.195432147668372
ADGRF4,Lung5,0.00040261913485871,0.00046359260285098,37735,0.385133704354903,0.238696376106355
ADGRF4,Lung6,0.00110653713074428,0.00281729846499419,3252,0.694492821693968,0.114962798339737
ADGRF4,Lung9,-0.00085764480794392,0.000911263619011571,21893,0.346622905272989,0.145812818817002
ADGRF4,Lung12,0.000913332188656785,0.000573599784005043,16548,0.111321521019567,0.358047294774455
ADGRF4,Lung13,0.00030259011279352,0.00113123630011298,13609,0.789094828777077,0.148572101818905
ADGRF5,Lung5,-5.89182526395708e-05,0.000299405510871386,37735,0.843996471587428,0.4332504547629
ADGRF5,Lung6,0.00133590638894652,0.00118397736595291,3252,0.259184426498138,0.378755421275112
ADGRF5,Lung9,0.00268496712662573,0.000649390149238998,21893,3.55576702607335e-05,0.232255480056074
ADGRF5,Lung12,0.000779581159267319,0.000453990026021561,16548,0.0859468654372341,0.479311309269849
ADGRF5,Lung13,0.00182094722610998,0.000722166884887742,13609,0.0116854099836158,0.283129740979113
ADGRG1,Lung5,-0.00227778619898992,0.000388725042822998,37735,4.63890435308424e-09,0.277413658305268
ADGRG1,Lung6,-0.00917225737240808,0.0025989019968165,3252,0.000416689254189736,0.158636235749301
ADGRG1,Lung9,1.49515958956245e-05,0.000737072573668373,21893,0.98381593637472,0.199473602575303
ADGRG1,Lung12,-0.000865456136834532,0.000552555109643918,16548,0.117283030370462,0.374548292719448
ADGRG1,Lung13,-4.67577860709057e-05,0.000956855748746467,13609,0.961026023703217,0.18401238437348
ADGRG3,Lung5,-0.000782603099253757,0.00037119001740913,37735,0.0349996487714328,0.309354967647507
ADGRG3,Lung6,0.00220522019903856,0.00197240652708635,3252,0.263551900865002,0.195248764213975
ADGRG3,Lung9,0.000293319939149647,0.000741938841786524,21893,0.692590155468102,0.199100385955584
ADGRG3,Lung12,-0.000682173698478512,0.000477843457377031,16548,0.153404384594893,0.449773648939989
ADGRG3,Lung13,-0.00160846339091681,0.000869467298865092,13609,0.0643220227769928,0.215390334457218
ADGRG5,Lung5,-0.000281707906343269,0.00044110440773037,37735,0.523055696837111,0.251876649743807
ADGRG5,Lung6,0.00719260836811924,0.00285482637773825,3252,0.0117536455464857,0.103697621634588
ADGRG5,Lung9,0.0019739809769359,0.000812794577928704,21893,0.0151558012498216,0.175495140555409
ADGRG5,Lung12,0.000504806699689859,0.000553200377831404,16548,0.36149476941397,0.377492037891158
ADGRG5,Lung13,0.00222679742111702,0.00107984803564786,13609,0.039194444955285,0.159741431950404
ADGRG6,Lung5,-0.00100400204251651,0.000396587398973532,37735,0.0113542306509178,0.279958837020956
ADGRG6,Lung6,0.00288090898666189,0.00243870767589281,3252,0.237473209440101,0.138543390988402
